;Campus;Circuito;Potencia_kVA;Localizacao;Demanda;Prioridade;Cod_Tipo_Carga;Des_Tipo_Carga;Latitude;Longitude;Arestas;Des_Aresta;Cod_Aresta;Op
subLeste;Leste;0;0;Subestacao Leste;1;0;0;raiz;-5.204789754934609;-37.32545519247651;s03t01;CF;1;1
subLeste;Leste;0;0;Subestacao Leste;1;0;0;raiz;-5.204789754934609;-37.32545519247651;s03t03;CF;1;1
subLeste;Leste;0;0;Subestacao Leste;1;0;0;raiz;-5.204789754934609;-37.32545519247651;s03t09;CF;1;1
subOeste;Oeste;0;0;Subestacao Oeste;1;0;0;raiz;;;s01t01;LE;0;1
s03t03;Leste;2;150;LAB-QFM;0,6;2;2;consumo;-5.204955129884183;-37.324116099625826;s03t04;LE;0;1
s03t04;Leste;2;150;Central de Aulas III;0,6;2;2;consumo;-5.205009821802378;-37.3239947296679;s03t05;LE;0;1
s03t05;Leste;2;150;Centro de Convivência;0,6;2;2;consumo;-5.2048838417977095;-37.32349240221083;s04t03;LE;0;1
s03t05;Leste;2;150;Centro de Convivência;0,6;2;2;consumo;-5.2048838417977095;-37.32349240221083;s04t03;LE;0;1
s04t01;Leste;2;150;Laboratório de Construções Rurais;0,6;2;2;consumo;-5.203803624026477;-37.32448264025152;;;;
s04t02;Leste;2;75;Biblioteca;0,6;2;2;consumo;-5.20399137865752;-37.324229422956705;s04t01;LE;0;1
s04t03;Leste;2;75;RU;0,6;2;2;consumo;-5.204473128542304;-37.32354990206659;s04t02;LE;0;1
s04t04;Leste;2;150;Central de Aulas IV;0,6;2;2;consumo;-5.204864731058478;-37.322664773091674;s04t05;LE;0;1
s04t05;Leste;2;150;Fitotecnia;0,6;2;2;consumo;-5.205343295820057;-37.32227719388902;s05t01;LE;0;1
s04t05;Leste;2;150;Fitotecnia;0,6;2;2;consumo;-5.205343295820057;-37.32227719388902;s03t06;LE;0;1
s03t06;Leste;6;150;PROPPG;0,6;2;2;consumo;-5.206310483627021;-37.32216571457684;s03t07;LE;0;1
s03t07;Leste;6;150;Ciências Exatas;0,6;2;2;consumo;-5.206457879394293;-37.32260006479919;s03t08;LE;0;1
s03t08;Leste;6;75;DCEN;0,6;2;2;consumo;-5.2067652;-37.3226244;;;;
s05t01;Leste;6;150;DVC;0,6;2;2;consumo;-5.206465548835695;-37.32044683769345;s05t02;LE;0;1
s05t02;Leste;6;30;Zoológico;0,6;2;2;consumo;-5.207222769968212;-37.31953932903707;s05t03;CF;1;1
s05t03;Leste;7;75;Baldrame;0,6;2;2;consumo;-5.208310866728425;-37.317989179864526;s05t04;LE;0;1
s05t04;Leste;7;45;Estábulo;0,6;2;2;consumo;-5.209561320953071;-37.31623074039817;s05t05;LE;0;1
s05t05;Leste;7;150;Avicultura;0,6;2;2;consumo;-5.210595983080566;-37.314866585657;s05t06;LE;0;1
s05t06;Leste;7;75;Garagem;0,6;2;2;consumo;-5.212458106689155;-37.31198857538402;s05t07;LE;0;1
s05t07;Leste;7;30;Projeto Cateto;0,6;2;2;consumo;-5.215839324519038;-37.30680411681533;;;;
s03t09;Leste;3;150;Medicina 1;0,6;2;2;consumo;-5.205643745139241;-37.32578845694661;s03t10;LE;0;1
s03t10;Leste;3;150;Medicina 2;0,6;2;2;consumo;-5.205902871675789;-37.325594667345285;s03t11;LE;0;1
s03t11;Leste;3;150;LABCOM;0,6;2;2;consumo;-5.20689629483968;-37.32426487840712;s03t12;CF;1;1
s03t11;Leste;3;150;LABCOM;0,6;2;2;consumo;-5.20689629483968;-37.32426487840712;s03t14;LE;0;1
s03t12;Leste;4;122,5;Biotecnologia;0,6;2;2;consumo;-5.206535076722503;-37.323458790779114;s03t13;LE;1;1
s03t13;Leste;4;75;Laboratório Engenharia (Produção);0,6;2;2;consumo;-5.206290576606989;-37.32329090125859;;;;
s03t14;Leste;4;75;Central de Aulas VI;0,6;2;2;consumo;-5.206931792199612;-37.32339349575341;s03t15;CF;1;1
s03t15;Leste;5;150;Expocenter;0,6;2;2;consumo;-5.207554190419614;-37.32303508557379;s03t16;LE;0;1
s03t16;Leste;5;150;Expocenter;0,6;2;2;consumo;-5.207960712723434;-37.32335636392236;;;;
s01t01;Oeste;9;150;LAB. s.;0,6;2;2;consumo;;;s01t02;LE;0;1
s01t01;Oeste;9;150;LAB. s.;0,6;2;2;consumo;;;s01t03;LE;0;1
s01t01;Oeste;9;150;LAB. s.;0,6;2;2;consumo;;;s01t04;LE;0;1
s01t02;Oeste;9;150;Centro Integrado de Laboratório do DCAN;0,6;2;2;consumo;;;s02t01;LE;0;1
s01t03;Oeste;10;75;Hospital Veterinário;0,6;2;2;consumo;;;;;;
s02t01;Oeste;9;75;Bloco Central;0,6;2;2;consumo;;;s02t02;LE;0;1
s02t02;Oeste;10;112,5;Lab Hidro;0,6;2;2;consumo;;;s02t03;LE;0;1
s02t03;Oeste;10;150;Central de Aulas 2;0,6;2;2;consumo;;;;;;1
s01t04;Oeste;10;150;DCAN I;0,6;2;2;consumo;;;s01t05;LE;0;1
s01t05;Oeste;10;75;Alojamento Feminino;0,6;2;2;consumo;;;s01t06;LE;0;1
s01t06;Oeste;10;75;DCAN II;0,6;2;2;consumo;;;s01t07;LE;0;1
s01t07;Oeste;10;150;Laboratório de Ecobioclimático;0,6;2;2;consumo;;;;;;
s03t01;Leste;1;150;Reitoria;0,6;2;2;consumo;-5.204351800493896;-37.3257958330214;;;;
